"LorrePeter", 0.003765770001336932 0.0011559356935322285 0.0029110675677657127 0.0019238786771893501 0.004448026418685913 0.0022307527251541615 0.003849909408017993 -0.0028238904196769 -0.002699962118640542 -0.0023537171073257923 0.00278454995714128 -3.2098774681799114E-4 -0.0023300787433981895 -0.0049126106314361095 0.002045032335445285 0.004493979271501303 -0.003958391025662422 -0.0031424006447196007 -6.32458133623004E-4 0.0016166900750249624 -0.003739279694855213 0.004879803862422705 0.0036507912445813417 -9.006279287859797E-4 0.0026031285524368286 -0.004723542835563421 -0.0039267451502382755 0.0014846611302345991 0.003747702343389392 8.977749384939671E-4 -0.004376785364001989 -7.204886060208082E-4 0.004031346645206213 -0.0032653152011334896 0.002715173875913024 0.001679148874245584 0.003968139179050922 -0.0011946491431444883 -0.0015039833961054683 7.689577178098261E-4 0.0015041055157780647 -0.0032423019874840975 -3.6369552253745496E-4 0.0031617311760783195 0.004160094074904919 -0.0019816425628960133 0.002615299541503191 -2.9686870402656496E-4 -0.004654103424400091 -0.00318659539334476 0.0021873130463063717 -3.95581271732226E-4 0.004018132109194994 -2.2761842410545796E-4 0.00426713889464736 -0.001976246712729335 0.003960572183132172 -0.0011169856879860163 -0.0036983678583055735 -0.001642877934500575 0.0010649687610566616 -3.0628987587988377E-4 0.003877007169649005 -0.0031594012398272753 0.00480911647900939 0.0027081137523055077 0.002476624445989728 -0.001196670113131404 -0.0019282225985080004 0.0013158794026821852 0.002245347248390317 -0.002136872848495841 -0.004200292285531759 -0.0028901693876832724 0.0024498850107192993 -0.0025327636394649744 9.75445203948766E-4 0.002577831270173192 0.0031926536466926336 -1.2298132060095668E-4 0.0024290785659104586 -0.00299777090549469 3.4524587681517005E-4 0.001093619386665523 0.0032281847670674324 0.0045933653600513935 0.0042865523137152195 -9.874923853203654E-4 -0.002696253824979067 -9.925782069331035E-5 0.0034985728561878204 6.173175643198192E-5 0.003653721883893013 0.003018336370587349 -0.003828892018646002 2.6157815591432154E-4 -0.004873390309512615 0.002619037637487054 4.656355013139546E-4 -9.310245513916016E-4
"ChefeJack", 5.640953313559294E-4 0.004795972257852554 0.0034239578526467085 -0.0026724417693912983 -0.0029438170604407787 8.584685856476426E-4 -2.0314249559305608E-4 0.0020157392136752605 0.0025645766872912645 -0.004303147085011005 -0.004778582602739334 -1.3603889965452254E-4 -0.0032356269657611847 0.003686038078740239 0.0018903574673458934 0.004397125914692879 -0.0029649774078279734 0.004230351187288761 0.004064606502652168 0.001871588989160955 -0.004729289561510086 -6.365872104652226E-4 -0.0027324119582772255 -0.0027654313016682863 -0.0021175877191126347 -0.0020674974657595158 -0.00324633764103055 0.0021270939614623785 0.0018863313598558307 -4.343335167504847E-4 -0.001061032060533762 0.002719651907682419 0.003365098498761654 0.004025142639875412 -0.004762278404086828 -8.963975706137717E-4 0.003500596387311816 -0.0038740725722163916 0.0018779654055833817 0.0013359730364754796 -0.0023176316171884537 0.0038806283846497536 0.0029916258063167334 -0.0019954091403633356 -0.0035369526594877243 0.004814069718122482 9.732689359225333E-4 -0.0017363434890285134 0.004901906941086054 0.0012234911555424333 0.0038660778664052486 0.004528133664280176 0.0017708964878693223 -0.004527401179075241 -1.3694219524040818E-4 -0.002890917705371976 -0.0047774589620530605 -0.0015927698696032166 0.003009738400578499 -0.004061245825141668 2.0835120812989771E-4 -0.0022965508978813887 3.675677580758929E-4 -0.002232797909528017 0.003776273690164089 -0.00386877846904099 0.0010323963360860944 -0.002718595089390874 6.801233976148069E-4 7.691237260587513E-4 -0.0034691193141043186 -8.056794758886099E-4 -0.0013737425906583667 0.0024834410287439823 0.0020404616370797157 9.861320722848177E-4 -0.0023675328120589256 5.403379327617586E-4 -6.67258573230356E-4 -0.00437841797247529 0.003406570991501212 0.002435502130538225 0.0012246863916516304 -0.003012685338035226 0.0038912806194275618 -0.004434519447386265 0.0027169862296432257 0.0010697196703404188 0.0047343154437839985 0.0038319954182952642 -0.0017130052438005805 -0.004159674514085054 -4.0306890150532126E-4 0.0036540625151246786 0.002252483507618308 0.0015374327776953578 0.0016147408168762922 -9.427793556824327E-4 -7.353745168074965E-4 0.0012288340367376804
"SimpsonReginald", -3.812546783592552E-4 0.003032153006643057 0.0035591262858361006 -0.0023108876775950193 0.0038528358563780785 0.00385287799872458 0.0021530319936573505 5.66637609153986E-4 -0.0024242533836513758 0.0035991137847304344 -0.0017020893283188343 0.003031846834346652 0.0023773314896970987 0.0025567575357854366 0.004985015373677015 4.4936357880942523E-4 -9.37729375436902E-4 0.002827021526172757 -0.00436921464279294 -7.176695507951081E-4 0.0041916752234101295 -6.376203964464366E-5 -0.0036724864039570093 -0.0014931182377040386 0.003102530725300312 -0.0039907037280499935 -0.0018118389416486025 -0.002473896834999323 0.003900048090144992 -0.002141789300367236 -0.0025299154222011566 -0.003532085567712784 -0.0010015846928581595 0.003488129237666726 -0.0020611907821148634 0.0020503855776041746 0.0012985005741938949 -0.00259047606959939 -0.0011917435331270099 0.003067518351599574 0.004078551661223173 0.003487631678581238 5.188569775782526E-4 -0.0024106113705784082 -0.0016919041518121958 3.601993666961789E-4 0.0010764882899820805 -5.701982881873846E-4 0.003273078240454197 4.897084436379373E-4 -5.1973049266962335E-5 -0.004108058288693428 -0.0012943143956363201 -4.5844572014175355E-4 -3.7781347054988146E-4 -0.003133864142000675 0.0013614022172987461 9.050494409166276E-4 -0.003463559318333864 0.003189491806551814 -0.004766699392348528 0.002686098450794816 0.0032268771901726723 -0.004026325885206461 -0.0010899683693423867 -0.0018456135876476765 -5.867237341590226E-4 -0.0018241393845528364 -0.0015613349387422204 0.0042082988657057285 -4.168217710684985E-4 0.003110776888206601 -0.002809148281812668 -0.0033655024599283934 0.0029658463317900896 0.00325352163054049 -0.0011708089150488377 -0.0032143406569957733 0.004901769105345011 -0.0038717323914170265 -0.0011366779217496514 -0.0027176206931471825 -0.0017741565825417638 0.0030950158834457397 0.0048099299892783165 -0.00365655729547143 0.0030221608467400074 4.94935957249254E-4 0.003828979330137372 -0.002431353321298957 -0.00446273060515523 -0.0022229531314224005 1.7998949624598026E-4 1.9276434613857418E-4 0.004188330378383398 0.00409654900431633 0.004412561189383268 -2.6011309819296E-4 -0.00190159457270056 0.003588232444599271
"LloydGeorge", 0.004575647413730621 3.977743617724627E-4 -0.0011124723823741078 -0.0015750970924273133 -0.0017422817181795835 -0.0049550351686775684 -0.0038847937248647213 0.0011001219972968102 0.001819237251766026 0.0020122663117945194 -0.00489566707983613 0.00120897579472512 -0.004152578301727772 -0.0025457327719777822 0.002551131183281541 0.0019939509220421314 -0.004411383531987667 0.0048111435025930405 -0.0011692539555951953 -9.525326895527542E-4 -0.004686067812144756 -0.002140917582437396 5.152365192770958E-4 0.003292026463896036 -0.002416473813354969 -3.580720804166049E-4 -0.002757861278951168 0.0017886384157463908 0.0010673407232388854 0.0029716151766479015 0.0029255736153572798 -0.0025527148973196745 0.00398583710193634 0.0018209422705695033 -0.00442569749429822 4.3199313222430646E-4 -0.002013928722590208 5.795029574073851E-4 -0.004705614876002073 0.004579154308885336 0.0021323321852833033 -0.003921682480722666 1.5382966375909746E-4 0.004070410039275885 0.0047839367762207985 0.004724836442619562 -4.108962893951684E-4 4.780937160830945E-4 0.0027270447462797165 -0.0020465462002903223 -0.0042213862761855125 9.639130439609289E-4 0.004516418091952801 -0.0020107135642319918 6.020520813763142E-4 -0.004390995483845472 0.002429577521979809 -0.002713616471737623 -0.0022426526993513107 0.0030030938796699047 -0.0012669448042288423 0.0030712890438735485 0.0018854939844459295 0.004122482612729073 -0.0019296423997730017 -0.0025901980698108673 0.003357771784067154 -0.004977753851562738 0.002011464908719063 -0.002435001777485013 0.0030366352293640375 0.003898989874869585 0.0041027856059372425 -0.002457771450281143 0.004482078365981579 -0.0030954189132899046 0.003527063876390457 -0.0018333570333197713 -0.0035233262460678816 -0.002667876658961177 -0.004457063972949982 -0.0018505044281482697 -7.969056605361402E-5 -0.0040526906959712505 0.0032000530045479536 -6.416402175091207E-4 -0.0024765674024820328 -0.0018785344436764717 -3.684965195134282E-4 -0.0012959492160007358 0.004278480540961027 -0.0018763348925858736 0.0025506713427603245 -0.0018259373027831316 -3.322144766571E-5 0.004508936777710915 0.004738342948257923 -0.004535811487585306 0.0011529050534591079 -0.0027927865739911795
"HoytJohn", 1.0474154987605289E-4 -0.003724861890077591 0.0032206191681325436 5.905021680518985E-4 0.004035493824630976 -0.0026944391429424286 -3.2532119075767696E-4 3.6234589060768485E-4 0.004622376523911953 0.0025985753163695335 -0.0015940706944093108 0.002556117018684745 -0.0036193951964378357 0.0043563018552958965 9.898674907162786E-4 -0.0023273839615285397 -0.00130849436391145 0.003836716990917921 -0.004204371012747288 0.0029044970870018005 7.777691935189068E-4 0.001814499613828957 -0.001687422045506537 0.004253364633768797 -8.478502277284861E-4 -6.991084665060043E-4 0.0032013021409511566 -0.003501943312585354 0.001749030314385891 -0.0029660172294825315 0.0033129865769296885 0.0028607782442122698 0.0026528912130743265 -8.368184207938612E-4 -2.3430862347595394E-4 -3.808777837548405E-4 0.004168278072029352 0.002042737090960145 1.205412918352522E-4 -0.0027628373354673386 0.0046517979353666306 0.0042085242457687855 1.0213553468929604E-4 -1.6134019824676216E-4 -0.003817206947132945 -2.2543585509993136E-4 -7.226226152852178E-4 5.645342753268778E-5 0.0033306553959846497 -0.0028351948130875826 -0.0034502248745411634 0.00360586354508996 0.004242885857820511 -0.0035771469119936228 0.003313144203275442 -0.002930012531578541 -0.0016751836519688368 0.0013128876453265548 -3.219997161068022E-4 0.00413910485804081 0.004621486179530621 -0.002615196630358696 0.0028152468148618937 0.003649877617135644 -0.0012184175429865718 -3.237741766497493E-4 -0.0015261396765708923 0.004280450288206339 0.0033962400630116463 -8.874660707078874E-4 0.0018829820910468698 -0.001999872736632824 0.004678279161453247 0.0027977004647254944 -0.0010306650074198842 0.00427118269726634 -0.004127316176891327 -0.0030238949693739414 -0.0035764905624091625 0.0012682228116318583 -0.0045653716661036015 -7.887227111496031E-4 -0.001855698530562222 -7.187428418546915E-4 -0.002495597116649151 0.0031610687728971243 0.004651293624192476 -0.004815203603357077 0.001271020038984716 -0.0020587074104696512 3.7058035377413034E-4 -0.0015031432267278433 0.003924872726202011 -0.0011827601119875908 -0.002870469121262431 -0.001966425683349371 -0.0044290777295827866 -0.002832043217495084 0.0010355720296502113 -0.0029218122363090515
"LaRueJack", 0.0012535173445940018 -9.945315541699529E-4 -0.004755120724439621 -0.002706460887566209 0.0019038927275687456 -0.0015253990422934294 0.0025731895584613085 0.0011873544426634908 0.0014599086716771126 -0.003993607591837645 0.0022575592156499624 0.0018622699426487088 -0.002354241907596588 -5.142600275576115E-4 0.0021782321855425835 -0.0031122409272938967 0.0036944064777344465 -0.004283096641302109 7.829156675143167E-5 -0.0026443691458553076 0.0023093647323548794 0.001975391758605838 -5.497191450558603E-4 7.001234916970134E-4 -0.0016255768714472651 0.002263314090669155 -2.1471557556651533E-4 -0.0031879437156021595 0.0031767094042152166 -0.0033885559532791376 0.0032413271255791187 -0.0040522292256355286 -0.004448528401553631 -0.0013509230921044946 0.0030939318239688873 0.001560322125442326 0.004761668387800455 8.048516465350986E-4 -0.002014545723795891 0.0040421513840556145 -7.590827881358564E-4 -2.40009612753056E-4 0.0047890436835587025 0.004011417273432016 -0.0030342780519276857 0.0028958432376384735 0.004564344882965088 2.5139248464256525E-4 0.003203027416020632 0.0018617436289787292 -5.030710017308593E-4 -0.0014508661115542054 -0.0026458727661520243 0.003422665875405073 0.0036145581398159266 -0.0042021144181489944 0.003761868691071868 -0.00142458057962358 0.0010546037228778005 -0.0022779011633247137 -0.003431940684095025 -0.003065355122089386 -0.004026088863611221 0.0022913895081728697 0.001180547522380948 -0.0035287002101540565 -0.0014526606537401676 0.0021981613244861364 -0.002549448050558567 -0.0034518283791840076 0.0037848660722374916 0.004570054821670055 0.0031793841626495123 -0.001040811650454998 0.0019697919487953186 -0.004349946044385433 0.004266403615474701 -0.004411641974002123 0.003401351161301136 0.0016173346666619182 -0.002032951917499304 -0.004348183516412973 -0.001578504336066544 0.0018247835105285048 -0.0045110792852938175 -0.0014314777217805386 0.0024295025505125523 0.003513830713927746 -0.003638630034402013 -0.003707720898091793 -0.0032958174124360085 0.002019842155277729 -0.002633835421875119 -0.003674539038911462 -0.003636094508692622 -0.002146743470802903 0.0027475084643810987 0.002259994624182582 -4.6701429528184235E-4 0.002569073112681508
"DoranAnn", 0.002394663402810693 4.811697290278971E-4 -0.0018920565489679575 0.004863761831074953 -7.464591762982309E-4 -0.0049781519919633865 0.0016581806121394038 0.001664438983425498 -8.226133650168777E-4 0.0039060665294528008 0.004001527559012175 -0.002174887340515852 7.1345129981637E-4 3.2416326575912535E-4 4.984377883374691E-4 -0.0017578733386471868 0.0028282974380999804 -6.764910067431629E-4 0.0024608224630355835 0.0026842558290809393 0.001636536791920662 -0.0035777841694653034 1.995568600250408E-4 -7.539872894994915E-4 0.0026510797906666994 -0.004367357585579157 0.0030800937674939632 -3.1575336470268667E-4 -0.0020424292888492346 -0.001240002689883113 -0.0016989033902063966 9.75055037997663E-4 0.0028794733807444572 0.002349773421883583 -0.002482661046087742 0.0013538084458559752 9.037071722559631E-4 -0.003198101883754134 0.0032295335549861193 0.0035042623057961464 -0.002844069851562381 -0.0014031378086656332 3.380612761247903E-4 0.001606635400094092 0.003322396194562316 -8.192717796191573E-4 0.0027057460974901915 -7.037165923975408E-4 0.0015863236039876938 -0.0023889094591140747 -0.001506995758973062 1.3746315380558372E-4 0.0032602325081825256 0.0030442976858466864 -0.003981510642915964 4.231297061778605E-4 0.004256523679941893 -8.984393207356334E-4 -9.15811862796545E-4 0.00479663023725152 -3.871970111504197E-4 1.2768768647219986E-4 1.2577151937875897E-4 0.0012868177145719528 -0.0010806190548464656 -0.0027369887102395296 -0.00467624980956316 -0.003929983824491501 0.0018417779356241226 0.0025725034065544605 -0.0022035010624676943 -0.0011195936240255833 -0.0032498391810804605 -0.0042235879227519035 -4.6318265958689153E-4 0.004937137011438608 -0.004624542780220509 -0.0046270485036075115 0.002647174522280693 -0.0018722970271483064 -6.704756524413824E-4 -0.0024926294572651386 0.001138970721513033 0.004448445048183203 0.002410729881376028 0.004394092131406069 -0.0032253218814730644 0.0034511673729866743 -0.0043521239422261715 0.004284307826310396 -4.6891201054677367E-4 -0.0024693943560123444 0.0026913355104625225 0.003970802295953035 0.002358672907575965 0.0031883285846561193 0.003193923970684409 4.259177658241242E-4 0.001107970136217773 -0.0010198150994256139
"TuckerHarland", -4.345017659943551E-4 3.328750317450613E-4 0.004688819404691458 -0.0034434052649885416 0.004099173005670309 2.200133167207241E-4 -0.0023440110962837934 0.004549136385321617 -0.003346469718962908 0.0025084970984607935 0.0033644256182014942 -0.0037791659124195576 0.0017954319482669234 7.903150981292129E-4 -0.0012512721586972475 0.003949917387217283 0.0012059776345267892 0.0035689454525709152 -0.004870547913014889 -0.004218387417495251 3.370055928826332E-4 8.220910094678402E-4 5.529717891477048E-4 -0.004755981732159853 0.0020167159382253885 0.002604754874482751 -0.0032491690944880247 8.459583041258156E-4 0.00351334223523736 4.648700705729425E-4 5.704653449356556E-4 0.0026707055512815714 0.001454676385037601 0.0036265922244638205 -0.002527138451114297 9.602872305549681E-4 -0.004336549900472164 -7.109658909030259E-4 -0.001041789073497057 0.004579534754157066 -0.0030401668045669794 -0.004130549728870392 -0.004422294441610575 -0.004338500555604696 0.004263522569090128 0.001285440637730062 -4.6300727990455925E-4 -4.343950131442398E-4 -7.455770974047482E-4 0.0015403913566842675 -0.0020866040140390396 0.002123491605743766 -8.889838354662061E-4 0.0025485092774033546 -0.003112490987405181 -0.002517533255741 -0.004768896382302046 0.002961375517770648 0.0024252524599432945 -0.0013354553375393152 -0.0026336880400776863 0.002007251139730215 -0.0025804010219872 0.0024966620840132236 -0.004354467149823904 0.004174312110990286 0.0011815797770395875 -0.004468359984457493 0.003864667844027281 0.0036209707614034414 0.00160888209939003 0.004885321017354727 -0.0014992778887972236 -3.3291924046352506E-4 5.506316083483398E-4 -0.004108349326997995 0.0033872127532958984 -0.0028163727838546038 -0.0024397962260991335 -0.0019390793750062585 -0.002473947126418352 -0.002948956796899438 -0.003062878968194127 0.0023544463329017162 -0.0031375729013234377 0.002023928100243211 0.004727824125438929 -6.026633200235665E-4 0.004278263077139854 -0.002247402211651206 3.9936037501320243E-4 8.209638763219118E-4 0.0017539436230435967 -0.002246313029900193 0.0022879568859934807 -9.422323200851679E-4 0.0032040916848927736 -3.1189393484964967E-4 -0.004896180704236031 -0.0039748540148139
"KeeneRichard", -0.0011560347629711032 -1.2959240848431364E-5 0.0025336386170238256 4.562144458759576E-4 -0.003988893236964941 -0.0024356557987630367 -0.002701183781027794 8.84639099240303E-4 0.0035791245754808187 0.0028236666694283485 0.002924686763435602 -0.004087088629603386 -0.0030031963251531124 -0.002511034021154046 -0.0012156396405771375 0.0012870552018284798 -3.9534614188596606E-4 -6.033921963535249E-4 -4.3567881220951676E-4 0.0027363384142518044 0.002807041397318244 0.0032112442422658205 -0.004108827095478773 0.0025251097977161407 0.003027355996891856 0.0038239697460085154 -0.003041727002710104 0.001523496932350099 8.165791514329612E-4 -0.003911295905709267 -6.615835009142756E-4 0.004282075446099043 0.0028222533874213696 -0.0027243769727647305 0.0010804818011820316 -0.002887887181714177 5.9201753174420446E-5 -0.002688181819394231 0.0043631731532514095 -0.0012457368429750204 0.0037366864271461964 4.687522887252271E-4 -0.004601757042109966 0.002357803052291274 -0.0035156691446900368 0.004038284532725811 0.0040752398781478405 -9.652586886659265E-4 0.0030477342661470175 0.0015702914679422975 -8.749965345486999E-4 0.0013678905088454485 0.0040505132637917995 0.0028089273255318403 8.559425477869809E-4 3.648869751486927E-4 -0.003970718942582607 1.4686012582387775E-4 -0.0020232636015862226 -0.0029461749363690615 -0.003495758632197976 0.0018452575895935297 0.001920896815136075 0.0010945405811071396 -0.002888282760977745 -0.0016909664263948798 0.0018633536528795958 -1.0241742711514235E-4 -0.001496160519309342 -0.004741078242659569 -1.720623258734122E-4 -4.0859225555323064E-4 0.004044045228511095 -0.004006028175354004 0.003975898027420044 -1.736101694405079E-4 -0.0022263946011662483 -0.004223631229251623 -0.0017148193437606096 -0.0020692250691354275 0.003657252760604024 0.001505515188910067 3.1167437555268407E-4 0.0026928058359771967 -0.004464626777917147 0.004648028872907162 -0.00299189449287951 0.0038943588733673096 -0.0037148117553442717 0.003657124238088727 -0.0017101559787988663 0.004908285569399595 -0.0017646943451836705 0.004599892068654299 -2.3189643980003893E-4 -0.001754252822138369 0.0044550225138664246 0.0014079837128520012 -0.001016115420497954 0.004554150626063347
"TyrrellJohn", 0.0014374398160725832 -0.004254467319697142 0.002716538030654192 0.00462981965392828 -4.084955435246229E-4 -0.0031414073891937733 0.003940557595342398 0.00321379117667675 0.0017610476352274418 -0.0036638216115534306 -0.004905953537672758 -0.00416824733838439 -0.0022937534376978874 0.00415091123431921 4.4788437662646174E-5 -0.0037939315661787987 5.826967535540462E-4 -0.0026611867360770702 -0.0028242545668035746 0.0035083943512290716 0.0029164457228034735 -0.004968419671058655 6.728506414219737E-4 2.829192962963134E-4 -0.0033401711843907833 -0.0014096236554905772 -0.0024824419524520636 -0.004259551875293255 0.003401185153052211 -0.0013289880007505417 -0.004986335523426533 -0.002127047860994935 0.0035396988969296217 -0.004069253336638212 -0.004081627354025841 -3.2128533348441124E-4 0.003043202217668295 0.002749415347352624 -0.00292210909537971 -6.241084192879498E-4 -0.0022010705433785915 0.0013906543608754873 -0.002064474392682314 0.004384254105389118 0.0030024356674402952 -0.0016133103054016829 2.9473131871782243E-4 0.0021363780833780766 4.2113938252441585E-4 0.002014483092352748 -0.0018088589422404766 -0.004803790245205164 -0.0011848134454339743 0.0020028792787343264 1.5720230294391513E-4 0.0025619317311793566 -2.2911353880772367E-7 0.003733274294063449 2.3702261387370527E-4 -0.003047289326786995 0.0034716366790235043 0.0016753236996009946 -0.003311394713819027 -0.0023536623921245337 -0.004986743442714214 -0.004360574763268232 0.004627378657460213 3.474792174529284E-4 -3.6204545176588E-4 -0.0010971365263685584 -0.0027106276247650385 -0.004769203718751669 0.004119531251490116 -0.0027613698039203882 3.6347564309835434E-4 -0.0015251159202307463 0.002147728344425559 0.001872168737463653 0.0034063926432281733 -0.0025931047275662422 -0.005034584552049637 0.0011116925161331892 -0.0032839151099324226 0.004041349980980158 0.004983618389815092 -0.002106170868501067 0.003434942802414298 -0.001223850529640913 0.0021476142574101686 -8.147828048095107E-4 -0.001392651698552072 -0.0034872395917773247 0.0020610291976481676 0.00453811464831233 0.0021360486280173063 0.0016602887772023678 0.004855765495449305 0.001207623747177422 0.004578222054988146 -8.124048472382128E-4
